"星期一,8:00-8:20,早读～英语401"
"星期一,8:20-9:00,上午第1节～英语403"
"星期一,9:15-9:55,上午第2节～无课程安排"
"星期一,10:10-10:50,上午第3节～无课程安排"
"星期一,11:05-11:45,上午第4节～英语402"
"星期一,11:45-12:30,午餐～无课程安排"
"星期一,12:30-13:30,午休～无课程安排"
"星期一,13:30-14:00,自主阅读～无课程安排"
"星期一,14:15-14:55,下午第5节～无课程安排"
"星期一,15:10-15:50,下午第6节～劳综401"
"星期一,15:50-16:20,大课间～无课程安排"
"星期一,16:20-17:00,托管七～401"
"星期一,17:00-17:15,错峰放学前时段～无课程安排"
"星期一,17:15-18:00,晚托八～无课程安排"
"星期二,8:00-8:20,早读～英语403"
"星期二,8:20-9:00,上午第1节～无课程安排"
"星期二,9:15-9:55,上午第2节～英语402"
"星期二,10:10-10:50,上午第3节～英语401"
"星期二,11:05-11:45,上午第4节～无课程安排"
"星期二,11:45-12:30,午餐～无课程安排"
"星期二,12:30-13:30,午休～无课程安排"
"星期二,13:30-14:00,自主阅读～403"
"星期二,14:15-14:55,下午第5节～体育404"
"星期二,15:10-15:50,下午第6节～无课程安排"
"星期二,15:50-16:20,大课间～无课程安排"
"星期二,16:20-17:00,托管七～403"
"星期二,17:00-17:15,错峰放学前时段～无课程安排"
"星期二,17:15-18:00,晚托八～401"
"星期三,8:00-8:20,早读～无课程安排"
"星期三,8:20-9:00,上午第1节～英语403"
"星期三,9:15-9:55,上午第2节～无课程安排"
"星期三,10:10-10:50,上午第3节～体育404"
"星期三,11:05-11:45,上午第4节～英语401"
"星期三,11:45-12:30,午餐～401"
"星期三,12:30-13:30,午休～无课程安排"
"星期三,13:30-14:00,自主阅读～402"
"星期三,14:15-14:55,下午第5节～劳综402"
"星期三,15:10-15:50,下午第6节～无课程安排"
"星期三,15:50-16:20,大课间～无课程安排"
"星期三,16:20-17:00,托管七～无课程安排"
"星期三,17:00-17:15,错峰放学前时段～无课程安排"
"星期三,17:15-18:00,晚托八～无课程安排"
"星期四,8:00-8:20,早读～无课程安排"
"星期四,8:20-9:00,上午第1节～英语402"
"星期四,9:15-9:55,上午第2节～英语401"
"星期四,10:10-10:50,上午第3节～无课程安排"
"星期四,11:05-11:45,上午第4节～无课程安排"
"星期四,11:45-12:30,午餐～401"
"星期四,12:30-13:30,午休～无课程安排"
"星期四,13:30-14:00,自主阅读～401"
"星期四,14:15-14:55,下午第5节～劳综403"
"星期四,15:10-15:50,下午第6节～无课程安排"
"星期四,15:50-16:20,大课间～无课程安排"
"星期四,16:20-17:00,托管七～无课程安排"
"星期四,17:00-17:15,错峰放学前时段～无课程安排"
"星期四,17:15-18:00,晚托八～403"
"星期五,8:00-8:20,早读～英语402"
"星期五,8:20-9:00,上午第1节～无课程安排"
"星期五,9:15-9:55,上午第2节～无课程安排"
"星期五,10:10-10:50,上午第3节～英语403"
"星期五,11:05-11:45,上午第4节～无课程安排"
"星期五,11:45-12:30,午餐～401"
"星期五,12:30-13:30,午休～无课程安排"
"星期五,13:30-14:00,自主阅读～401"
"星期五,14:15-14:55,下午第5节～无课程安排"
"星期五,15:10-15:50,下午第6节～无课程安排"
"星期五,15:50-16:20,大课间～无课程安排"
"星期五,16:20-17:00,托管七～402"
"星期五,17:00-17:15,错峰放学前时段～无课程安排"
"星期五,17:15-18:00,晚托八～402"
"星期六,全天各时段～无课程及托管安排"
"星期日,全天各时段～无课程及托管安排"
